,Player,Tgt,Rec,Yds,Y/R,TD,Lng,Tm,Home Game,Opponent,Year
1,Christian McCaffrey,5,4,26,6.5,0,10.0,CAR,1,CAR,2022
3,D.J. Moore,6,3,43,14.3,1,29.0,CAR,1,CAR,2022
4,Chosen Anderson,5,3,32,10.7,0,19.0,CAR,1,CAR,2022
5,Giovanni Ricci,1,1,16,16.0,0,16.0,CAR,1,CAR,2022
6,Ian Thomas,3,1,13,13.0,0,13.0,CAR,1,CAR,2022
7,Stephen Sullivan,1,1,13,13.0,0,13.0,CAR,1,CAR,2022
8,Shi Smith,6,1,2,2.0,0,2.0,CAR,1,CAR,2022
1,Christian McCaffrey,4,2,7,3.5,0,8.0,CAR,1,NOR,2022
3,D.J. Moore,6,1,2,2.0,0,2.0,CAR,1,NOR,2022
4,Laviska Shenault Jr.,2,2,90,45.0,1,67.0,CAR,1,NOR,2022
5,Shi Smith,2,2,22,11.0,0,24.0,CAR,1,NOR,2022
6,Giovanni Ricci,2,1,15,15.0,0,15.0,CAR,1,NOR,2022
7,Chosen Anderson,4,1,14,14.0,0,14.0,CAR,1,NOR,2022
8,Ian Thomas,3,2,13,6.5,0,9.0,CAR,1,NOR,2022
9,Tommy Tremble,1,1,7,7.0,0,7.0,CAR,1,NOR,2022
1,Christian McCaffrey,9,9,81,9.0,1,34.0,CAR,1,ARI,2022
2,D.J. Moore,11,6,50,8.3,0,16.0,CAR,1,ARI,2022
4,Tommy Tremble,6,3,34,11.3,0,16.0,CAR,1,ARI,2022
5,Chosen Anderson,5,3,26,8.7,0,13.0,CAR,1,ARI,2022
6,Ian Thomas,3,1,6,6.0,0,6.0,CAR,1,ARI,2022
2,Christian McCaffrey,12,7,50,7.1,0,12.0,CAR,1,SFO,2022
3,D.J. Moore,8,4,59,14.8,0,27.0,CAR,1,SFO,2022
5,Shi Smith,5,4,69,17.2,0,31.0,CAR,1,SFO,2022
6,Chosen Anderson,5,1,32,32.0,0,32.0,CAR,1,SFO,2022
7,Terrace Marshall Jr.,4,4,30,7.5,0,12.0,CAR,1,SFO,2022
8,Giovanni Ricci,3,3,27,9.0,0,12.0,CAR,1,SFO,2022
9,Ian Thomas,2,2,8,4.0,0,6.0,CAR,1,SFO,2022
1,Cam Akers,3,3,35,11.7,0,18.0,LAR,1,LAR,2022
3,Brandon Powell,2,1,4,4.0,0,4.0,LAR,1,LAR,2022
4,Van Jefferson,2,2,32,16.0,0,17.0,LAR,1,LAR,2022
5,Tyler Higbee,5,4,27,6.8,1,8.0,LAR,1,LAR,2022
6,Ben Skowronek,3,1,3,3.0,0,3.0,LAR,1,LAR,2022
8,Tutu Atwell,4,1,10,10.0,0,10.0,LAR,1,LAR,2022
1,Cam Akers,2,2,29,14.5,0,17.0,LAR,1,DEN,2022
2,Malcolm Brown,1,1,2,2.0,0,2.0,LAR,1,DEN,2022
3,Kyren Williams,1,1,3,3.0,0,3.0,LAR,1,DEN,2022
4,Brandon Powell,3,3,12,4.0,0,8.0,LAR,1,DEN,2022
5,Tyler Higbee,11,9,94,10.4,2,21.0,LAR,1,DEN,2022
6,Brycen Hopkins,3,3,57,19.0,0,22.0,LAR,1,DEN,2022
7,Van Jefferson,5,3,19,6.3,0,11.0,LAR,1,DEN,2022
8,Tutu Atwell,2,2,14,7.0,0,7.0,LAR,1,DEN,2022
1,Cam Akers,2,1,10,10.0,0,10.0,LAR,1,LAR,2022
3,Brandon Powell,2,1,3,3.0,0,3.0,LAR,1,LAR,2022
5,Van Jefferson,3,3,77,25.7,0,39.0,LAR,1,LAR,2022
6,Brycen Hopkins,1,1,21,21.0,0,21.0,LAR,1,LAR,2022
7,Tyler Higbee,4,3,11,3.7,0,7.0,LAR,1,LAR,2022
8,Tutu Atwell,5,2,10,5.0,0,6.0,LAR,1,LAR,2022
1,Cam Akers,3,3,24,8.0,0,13.0,LAR,1,LAR,2022
2,Brandon Powell,3,1,2,2.0,0,2.0,LAR,1,LAR,2022
3,Tutu Atwell,3,2,27,13.5,0,21.0,LAR,1,LAR,2022
4,Van Jefferson,7,3,61,20.3,0,35.0,LAR,1,LAR,2022
5,Tyler Higbee,7,4,33,8.2,0,17.0,LAR,1,LAR,2022
