,Player,Tgt,Rec,Yds,Y/R,TD,Lng,Tm,Home Game,Opponent,Year
7,KhaDarel Hodge,1,1,10,10.0,0,10.0,CLE,1,DEN,2019
10,Odell Beckham Jr.,6,5,87,17.4,0,39.0,CLE,1,DEN,2019
1,Nick Chubb,4,2,5,2.5,0,4.0,CLE,1,BUF,2019
2,Kareem Hunt,9,7,44,6.3,0,19.0,CLE,1,BUF,2019
3,Jarvis Landry,10,9,97,10.8,1,24.0,CLE,1,BUF,2019
4,Odell Beckham Jr.,12,5,57,11.4,0,16.0,CLE,1,BUF,2019
5,Demetrius Harris,2,2,28,14.0,0,16.0,CLE,1,BUF,2019
6,Rashard Higgins,1,1,7,7.0,1,7.0,CLE,1,BUF,2019
2,Kareem Hunt,8,6,46,7.7,0,20.0,CLE,1,PIT,2019
3,Odell Beckham Jr.,10,4,60,15.0,0,42.0,CLE,1,PIT,2019
4,Jarvis Landry,7,4,43,10.8,1,25.0,CLE,1,PIT,2019
5,KhaDarel Hodge,2,1,41,41.0,0,41.0,CLE,1,PIT,2019
6,Stephen Carlson,1,1,8,8.0,1,8.0,CLE,1,PIT,2019
1,Nick Chubb,3,3,58,19.3,0,32.0,CLE,1,MIA,2019
2,Kareem Hunt,3,2,9,4.5,0,6.0,CLE,1,MIA,2019
3,Jarvis Landry,13,10,148,14.8,2,37.0,CLE,1,MIA,2019
4,Odell Beckham Jr.,8,6,84,14.0,1,35.0,CLE,1,MIA,2019
5,Demetrius Harris,2,2,20,10.0,0,12.0,CLE,1,MIA,2019
6,Stephen Carlson,1,1,8,8.0,0,8.0,CLE,1,MIA,2019
2,Nick Chubb,2,1,21,21.0,0,21.0,CLE,1,PIT,2019
3,Kareem Hunt,5,5,19,3.8,1,15.0,CLE,1,PIT,2019
4,Jarvis Landry,11,6,76,12.7,0,19.0,CLE,1,PIT,2019
5,Odell Beckham Jr.,6,3,29,9.7,0,19.0,CLE,1,PIT,2019
6,Stephen Carlson,2,2,28,14.0,0,21.0,CLE,1,PIT,2019
7,Demetrius Harris,4,1,23,23.0,0,23.0,CLE,1,PIT,2019
1,Nick Chubb,1,1,11,11.0,0,11.0,CLE,1,CIN,2019
2,Kareem Hunt,2,2,40,20.0,0,29.0,CLE,1,CIN,2019
3,Jarvis Landry,7,4,76,19.0,0,34.0,CLE,1,CIN,2019
4,Odell Beckham Jr.,5,2,39,19.5,0,21.0,CLE,1,CIN,2019
5,Ricky Seals-Jones,1,1,22,22.0,0,22.0,CLE,1,CIN,2019
6,David Njoku,3,1,4,4.0,0,4.0,CLE,1,CIN,2019
1,Nick Chubb,3,3,21,7.0,0,17.0,CLE,1,ARI,2019
2,Kareem Hunt,9,8,62,7.8,0,16.0,CLE,1,ARI,2019
3,Odell Beckham Jr.,13,8,66,8.2,0,17.0,CLE,1,ARI,2019
4,Damion Ratley,2,2,33,16.5,0,21.0,CLE,1,ARI,2019
5,Ricky Seals-Jones,4,3,29,9.7,2,26.0,CLE,1,ARI,2019
6,Jarvis Landry,8,5,23,4.6,0,10.0,CLE,1,ARI,2019
7,Demetrius Harris,2,1,13,13.0,0,13.0,CLE,1,ARI,2019
1,Kareem Hunt,4,4,33,8.2,0,12.0,CLE,1,BAL,2019
3,Jarvis Landry,9,7,74,10.6,0,33.0,CLE,1,BAL,2019
4,Odell Beckham Jr.,6,4,44,11.0,1,22.0,CLE,1,BAL,2019
5,Ricky Seals-Jones,2,1,23,23.0,0,23.0,CLE,1,BAL,2019
6,Stephen Carlson,1,1,7,7.0,0,7.0,CLE,1,BAL,2019
7,KhaDarel Hodge,2,1,6,6.0,0,6.0,CLE,1,BAL,2019
8,Dontrell Hilliard,1,1,4,4.0,0,4.0,CLE,1,BAL,2019
9,Demetrius Harris,3,1,1,1.0,1,1.0,CLE,1,BAL,2019
1,Nick Chubb,2,1,1,1.0,0,1.0,CLE,1,CIN,2019
2,Kareem Hunt,4,3,32,10.7,0,11.0,CLE,1,CIN,2019
3,Jarvis Landry,6,2,82,41.0,1,56.0,CLE,1,CIN,2019
4,Odell Beckham Jr.,6,3,81,27.0,1,36.0,CLE,1,CIN,2019
5,Damion Ratley,3,2,64,32.0,1,46.0,CLE,1,CIN,2019
6,KhaDarel Hodge,2,1,19,19.0,0,19.0,CLE,1,CIN,2019
1,Kareem Hunt,6,4,9,2.2,0,8.0,CLE,1,BAL,2020
2,Nick Chubb,1,1,6,6.0,0,6.0,CLE,1,BAL,2020
4,Jarvis Landry,6,5,61,12.2,0,20.0,CLE,1,BAL,2020
5,David Njoku,3,3,50,16.7,1,28.0,CLE,1,BAL,2020
6,Odell Beckham Jr.,10,3,22,7.3,0,16.0,CLE,1,BAL,2020
7,Austin Hooper,2,2,15,7.5,0,9.0,CLE,1,BAL,2020
8,KhaDarel Hodge,3,1,12,12.0,0,12.0,CLE,1,BAL,2020
9,Rashard Higgins,1,1,9,9.0,0,9.0,CLE,1,BAL,2020
10,Harrison Bryant,2,1,5,5.0,0,5.0,CLE,1,BAL,2020
1,Nick Chubb,1,1,9,9.0,0,9.0,CLE,1,CIN,2020
2,Kareem Hunt,2,2,15,7.5,1,9.0,CLE,1,CIN,2020
3,Odell Beckham Jr.,6,4,74,18.5,1,43.0,CLE,1,CIN,2020
4,Jarvis Landry,3,3,46,15.3,0,21.0,CLE,1,CIN,2020
5,KhaDarel Hodge,2,2,39,19.5,0,26.0,CLE,1,CIN,2020
6,Austin Hooper,4,2,22,11.0,0,11.0,CLE,1,CIN,2020
7,Harrison Bryant,2,1,14,14.0,0,14.0,CLE,1,CIN,2020
1,Nick Chubb,1,1,2,2.0,0,2.0,CLE,1,WAS,2020
2,Kareem Hunt,3,2,18,9.0,1,9.0,CLE,1,WAS,2020
4,Odell Beckham Jr.,6,4,59,14.8,0,18.0,CLE,1,WAS,2020
5,Jarvis Landry,4,4,36,9.0,0,12.0,CLE,1,WAS,2020
6,Austin Hooper,4,3,25,8.3,0,10.0,CLE,1,WAS,2020
7,Andy Janovich,1,1,13,13.0,0,13.0,CLE,1,WAS,2020
8,Harrison Bryant,2,1,3,3.0,1,3.0,CLE,1,WAS,2020
1,Jarvis Landry,6,5,48,9.6,0,11.0,CLE,1,DAL,2020
3,Odell Beckham Jr.,8,5,81,16.2,2,37.0,CLE,1,DAL,2020
6,Dontrell Hilliard,1,1,2,2.0,0,2.0,CLE,1,DAL,2020
7,Harrison Bryant,4,4,37,9.2,0,16.0,CLE,1,DAL,2020
8,Austin Hooper,7,5,34,6.8,1,12.0,CLE,1,DAL,2020
1,Odell Beckham Jr.,9,5,58,11.6,0,26.0,CLE,1,IND,2020
2,Kareem Hunt,4,3,21,7.0,1,13.0,CLE,1,IND,2020
3,D'Ernest Johnson,1,1,4,4.0,0,4.0,CLE,1,IND,2020
5,Jarvis Landry,9,4,88,22.0,0,32.0,CLE,1,IND,2020
6,Austin Hooper,10,5,57,11.4,0,18.0,CLE,1,IND,2020
7,Rashard Higgins,3,3,31,10.3,1,15.0,CLE,1,IND,2020
8,David Njoku,1,1,6,6.0,0,6.0,CLE,1,IND,2020
2,Kareem Hunt,3,2,17,8.5,0,12.0,CLE,1,PIT,2020
5,Austin Hooper,6,5,52,10.4,0,36.0,CLE,1,PIT,2020
6,Jarvis Landry,5,3,40,13.3,0,24.0,CLE,1,PIT,2020
7,Odell Beckham Jr.,3,2,25,12.5,0,13.0,CLE,1,PIT,2020
8,Rashard Higgins,2,1,13,13.0,1,13.0,CLE,1,PIT,2020
9,Harrison Bryant,2,1,11,11.0,0,11.0,CLE,1,PIT,2020
10,David Njoku,3,1,7,7.0,0,7.0,CLE,1,PIT,2020
1,Jarvis Landry,6,5,48,9.6,0,28.0,CLE,1,CIN,2020
2,Kareem Hunt,4,3,26,8.7,1,12.0,CLE,1,CIN,2020
4,Rashard Higgins,6,6,110,18.3,0,30.0,CLE,1,CIN,2020
5,Harrison Bryant,5,4,56,14.0,2,35.0,CLE,1,CIN,2020
6,Donovan Peoples-Jones,3,3,56,18.7,1,24.0,CLE,1,CIN,2020
7,David Njoku,3,2,20,10.0,1,16.0,CLE,1,CIN,2020
1,Kareem Hunt,3,2,7,3.5,0,6.0,CLE,1,LVR,2020
2,D'Ernest Johnson,1,1,5,5.0,0,5.0,CLE,1,LVR,2020
3,Jarvis Landry,11,4,52,13.0,0,25.0,CLE,1,LVR,2020
4,Harrison Bryant,3,3,25,8.3,0,10.0,CLE,1,LVR,2020
5,David Njoku,3,1,19,19.0,0,19.0,CLE,1,LVR,2020
6,Rashard Higgins,3,1,14,14.0,0,14.0,CLE,1,LVR,2020
2,Kareem Hunt,4,3,28,9.3,0,12.0,CLE,1,HOU,2020
3,Rashard Higgins,4,3,48,16.0,0,21.0,CLE,1,HOU,2020
4,Jarvis Landry,5,3,29,9.7,0,18.0,CLE,1,HOU,2020
5,Donovan Peoples-Jones,2,2,16,8.0,0,10.0,CLE,1,HOU,2020
6,Austin Hooper,2,1,11,11.0,0,11.0,CLE,1,HOU,2020
2,Kareem Hunt,1,1,10,10.0,0,10.0,CLE,1,PHI,2020
3,Jarvis Landry,2,2,23,11.5,0,13.0,CLE,1,PHI,2020
4,KhaDarel Hodge,5,3,73,24.3,0,42.0,CLE,1,PHI,2020
5,Rashard Higgins,4,3,65,21.7,0,43.0,CLE,1,PHI,2020
6,Austin Hooper,5,3,33,11.0,0,21.0,CLE,1,PHI,2020
1,Nick Chubb,3,3,32,10.7,0,14.0,CLE,1,JAX,2020
3,Jarvis Landry,11,8,143,17.9,1,27.0,CLE,1,JAX,2020
4,KhaDarel Hodge,3,3,31,10.3,0,17.0,CLE,1,JAX,2020
5,Rashard Higgins,2,1,15,15.0,0,15.0,CLE,1,JAX,2020
6,Harrison Bryant,2,1,13,13.0,0,13.0,CLE,1,JAX,2020
7,Austin Hooper,2,2,13,6.5,1,9.0,CLE,1,JAX,2020
8,Stephen Carlson,1,1,11,11.0,0,11.0,CLE,1,JAX,2020
0,Baker Mayfield,1,1,6,6.0,0,6.0,CLE,1,TEN,2020
1,Jarvis Landry,10,8,62,7.8,1,13.0,CLE,1,TEN,2020
2,Nick Chubb,1,1,26,26.0,0,26.0,CLE,1,TEN,2020
3,Kareem Hunt,3,3,24,8.0,0,13.0,CLE,1,TEN,2020
