,Player,Tm,Att,Yds,TD,Lng,Y/A,Opponent,Year
3,D'Ernest Johnson,CLE,1,5,0,5.0,5.0,BAL,2020
0,Baker Mayfield,CLE,3,5,0,8.0,1.7,CIN,2020
1,Nick Chubb,CLE,22,124,2,26.0,5.6,CIN,2020
2,Kareem Hunt,CLE,10,86,1,33.0,8.6,CIN,2020
0,Baker Mayfield,CLE,1,1,0,1.0,1.0,WAS,2020
1,Nick Chubb,CLE,19,108,2,25.0,5.7,WAS,2020
2,Kareem Hunt,CLE,16,46,0,11.0,2.9,WAS,2020
3,Jojo Natson,CLE,1,3,0,3.0,3.0,WAS,2020
0,Baker Mayfield,CLE,3,6,0,8.0,2.0,DAL,2020
2,D'Ernest Johnson,CLE,13,95,0,28.0,7.3,DAL,2020
3,Odell Beckham Jr.,CLE,2,73,1,50.0,36.5,DAL,2020
4,Kareem Hunt,CLE,11,71,2,14.0,6.5,DAL,2020
5,Nick Chubb,CLE,6,43,0,21.0,7.2,DAL,2020
6,Dontrell Hilliard,CLE,5,19,0,10.0,3.8,DAL,2020
0,Baker Mayfield,CLE,2,17,0,16.0,8.5,IND,2020
2,Kareem Hunt,CLE,20,72,0,10.0,3.6,IND,2020
3,D'Ernest Johnson,CLE,8,32,0,28.0,4.0,IND,2020
4,Andy Janovich,CLE,2,4,0,2.0,2.0,IND,2020
0,Baker Mayfield,CLE,1,5,0,5.0,5.0,PIT,2020
2,Kareem Hunt,CLE,13,40,0,10.0,3.1,PIT,2020
3,Dontrell Hilliard,CLE,4,29,0,19.0,7.2,PIT,2020
4,D'Ernest Johnson,CLE,4,1,0,6.0,0.2,PIT,2020
1,Jarvis Landry,CLE,2,4,0,5.0,2.0,CIN,2020
2,Kareem Hunt,CLE,18,76,0,15.0,4.2,CIN,2020
3,D'Ernest Johnson,CLE,1,3,0,3.0,3.0,CIN,2020
0,Baker Mayfield,CLE,6,29,0,10.0,4.8,LVR,2020
1,Kareem Hunt,CLE,14,66,0,18.0,4.7,LVR,2020
2,D'Ernest Johnson,CLE,2,6,0,6.0,3.0,LVR,2020
0,Baker Mayfield,CLE,3,1,0,3.0,0.3,HOU,2020
1,Nick Chubb,CLE,19,126,1,59.0,6.6,HOU,2020
2,Kareem Hunt,CLE,19,104,0,19.0,5.5,HOU,2020
0,Baker Mayfield,CLE,6,9,0,7.0,1.5,PHI,2020
1,Nick Chubb,CLE,20,114,0,54.0,5.7,PHI,2020
2,Kareem Hunt,CLE,13,11,1,6.0,0.8,PHI,2020
3,Jarvis Landry,CLE,1,3,0,3.0,3.0,PHI,2020
0,Baker Mayfield,CLE,4,1,0,4.0,0.2,JAX,2020
1,Nick Chubb,CLE,19,144,1,29.0,7.6,JAX,2020
2,Kareem Hunt,CLE,10,62,0,27.0,6.2,JAX,2020
0,Baker Mayfield,CLE,4,5,0,3.0,1.2,TEN,2020
2,Nick Chubb,CLE,18,80,1,29.0,4.4,TEN,2020
3,Kareem Hunt,CLE,14,33,0,8.0,2.4,TEN,2020
0,Baker Mayfield,CLE,5,23,1,7.0,4.6,BAL,2020
2,Nick Chubb,CLE,17,82,2,14.0,4.8,BAL,2020
3,Kareem Hunt,CLE,6,33,1,10.0,5.5,BAL,2020
0,Baker Mayfield,CLE,4,11,0,5.0,2.8,NYG,2020
1,Nick Chubb,CLE,15,50,1,15.0,3.3,NYG,2020
2,D'Ernest Johnson,CLE,4,24,0,21.0,6.0,NYG,2020
3,Kareem Hunt,CLE,7,21,0,14.0,3.0,NYG,2020
0,Baker Mayfield,CLE,3,6,0,4.0,2.0,NYJ,2020
1,Nick Chubb,CLE,11,28,1,16.0,2.5,NYJ,2020
2,Kareem Hunt,CLE,4,11,1,6.0,2.8,NYJ,2020
0,Baker Mayfield,CLE,6,44,0,28.0,7.3,PIT,2020
1,Nick Chubb,CLE,14,108,1,47.0,7.7,PIT,2020
2,Kareem Hunt,CLE,10,37,0,12.0,3.7,PIT,2020
3,Jarvis Landry,CLE,1,3,1,3.0,3.0,PIT,2020
